Date,TRI
30/11/1998,607.47
01/12/1998,606.23
02/12/1998,609.96
03/12/1998,607.86
04/12/1998,613.86
07/12/1998,625.44
08/12/1998,629.06
09/12/1998,631
10/12/1998,634.02
11/12/1998,637.94
14/12/1998,633.22
15/12/1998,620.97
16/12/1998,625.51
17/12/1998,611.68
18/12/1998,615.5
21/12/1998,633.04
22/12/1998,630.74
23/12/1998,632.89
24/12/1998,634.11
28/12/1998,649.54
29/12/1998,647.47
30/12/1998,668.65
31/12/1998,658.58
01/01/1999,663.87
04/01/1999,670.62
05/01/1999,678.2
06/01/1999,694.07
07/01/1999,708.15
08/01/1999,728.68
11/01/1999,733.4
12/01/1999,718.84
13/01/1999,722.05
14/01/1999,718.76
15/01/1999,704.36
18/01/1999,709.21
19/01/1999,694.65
21/01/1999,725.37
22/01/1999,721.14
25/01/1999,718.06
27/01/1999,739.52
28/01/1999,725.2
29/01/1999,728.72
01/02/1999,708.76
02/02/1999,697.9
03/02/1999,715.92
04/02/1999,705.96
05/02/1999,702.95
08/02/1999,690.44
09/02/1999,694.51
10/02/1999,718.35
11/02/1999,721.29
12/02/1999,729.05
15/02/1999,718.72
16/02/1999,724.88
17/02/1999,737.08
18/02/1999,738.8
19/02/1999,739
22/02/1999,720.18
23/02/1999,714.76
24/02/1999,724.41
25/02/1999,723.54
26/02/1999,714.67
27/02/1999,743.55
01/03/1999,765.66
03/03/1999,790.06
04/03/1999,778.57
05/03/1999,787.44
08/03/1999,795.06
09/03/1999,799.06
10/03/1999,809.02
11/03/1999,792.14
12/03/1999,803.75
15/03/1999,808.17
16/03/1999,797.08
17/03/1999,803.38
18/03/1999,817.81
19/03/1999,808.27
20/03/1999,808.86
22/03/1999,811.88
23/03/1999,814.22
24/03/1999,812.17
25/03/1999,808.18
26/03/1999,793.5
30/03/1999,797.44
31/03/1999,821.18
01/04/1999,815.1
05/04/1999,774.09
06/04/1999,776.24
07/04/1999,782.43
08/04/1999,774.08
09/04/1999,751.95
12/04/1999,752.01
13/04/1999,746.26
15/04/1999,723.54
16/04/1999,778.5
17/04/1999,723.3
19/04/1999,741.76
20/04/1999,743.64
21/04/1999,749.31
22/04/1999,737.17
23/04/1999,735.28
26/04/1999,694.29
28/04/1999,702.64
29/04/1999,723.22
30/04/1999,737.22
03/05/1999,732.51
04/05/1999,761.42
05/05/1999,774.56
06/05/1999,788.89
07/05/1999,799.22
10/05/1999,819.1
11/05/1999,831.23
12/05/1999,820.88
13/05/1999,844.72
14/05/1999,855.13
17/05/1999,842.84
18/05/1999,849.78
19/05/1999,870.58
20/05/1999,865.31
21/05/1999,848.59
24/05/1999,849.84
25/05/1999,855.37
26/05/1999,843.59
27/05/1999,817.56
28/05/1999,804.26
31/05/1999,839.73
01/06/1999,831.39
02/06/1999,835.72
03/06/1999,844.89
04/06/1999,855.57
07/06/1999,856.06
08/06/1999,870.08
09/06/1999,863.56
10/06/1999,866.22
11/06/1999,851.55
14/06/1999,837.58
15/06/1999,828.37
16/06/1999,847.65
17/06/1999,862.99
18/06/1999,861.08
21/06/1999,880.11
22/06/1999,889.85
23/06/1999,878.72
24/06/1999,871.72
25/06/1999,870.79
28/06/1999,881.12
29/06/1999,880.88
30/06/1999,880.76
01/07/1999,878.48
02/07/1999,886.8
05/07/1999,910.38
06/07/1999,920.71
07/07/1999,924.45
08/07/1999,924.21
09/07/1999,936.12
12/07/1999,982.1
13/07/1999,983.75
14/07/1999,1000.35
15/07/1999,980.64
16/07/1999,988.7
19/07/1999,1007.92
20/07/1999,984.89
21/07/1999,1004.02
22/07/1999,1011.54
23/07/1999,1003.48
26/07/1999,995.28
27/07/1999,986.62
28/07/1999,999.37
29/07/1999,998.41
30/07/1999,990.45
02/08/1999,972.74
03/08/1999,976.39
04/08/1999,1005.13
05/08/1999,1001.56
06/08/1999,1001.2
09/08/1999,1013.54
10/08/1999,1003.6
11/08/1999,1010.64
12/08/1999,1012.39
13/08/1999,1003.14
16/08/1999,1021.08
17/08/1999,1040.29
18/08/1999,1072.01
19/08/1999,1054.73
20/08/1999,1061.56
23/08/1999,1077.71
24/08/1999,1088.82
25/08/1999,1077.55
26/08/1999,1098.29
27/08/1999,1105.14
30/08/1999,1103.5
31/08/1999,1096.6
01/09/1999,1090.54
02/09/1999,1065.97
03/09/1999,1066.58
06/09/1999,1078.91
07/09/1999,1073.13
