date,value
1998-11-30,607.47
1998-12-01,606.23
1998-12-02,609.96
1998-12-03,607.86
1998-12-04,613.86
1998-12-07,625.44
1998-12-08,629.06
1998-12-09,631
1998-12-10,634.02
1998-12-11,637.94
1998-12-14,633.22
1998-12-15,620.97
1998-12-16,625.51
1998-12-17,611.68
1998-12-18,615.5
1998-12-21,633.04
1998-12-22,630.74
1998-12-23,632.89
1998-12-24,634.11
1998-12-28,649.54
1998-12-29,647.47
1998-12-30,668.65
1998-12-31,658.58
1999-01-01,663.87
1999-01-04,670.62
1999-01-05,678.2
1999-01-06,694.07
1999-01-07,708.15
1999-01-08,728.68
1999-01-11,733.4
1999-01-12,718.84
1999-01-13,722.05
1999-01-14,718.76
1999-01-15,704.36
1999-01-18,709.21
1999-01-19,694.65
1999-01-21,725.37
1999-01-22,721.14
1999-01-25,718.06
1999-01-27,739.52
1999-01-28,725.2
1999-01-29,728.72
1999-02-01,708.76
1999-02-02,697.9
1999-02-03,715.92
1999-02-04,705.96
1999-02-05,702.95
1999-02-08,690.44
1999-02-09,694.51
1999-02-10,718.35
1999-02-11,721.29
1999-02-12,729.05
1999-02-15,718.72
1999-02-16,724.88
1999-02-17,737.08
1999-02-18,738.8
1999-02-19,739
1999-02-22,720.18
1999-02-23,714.76
1999-02-24,724.41
1999-02-25,723.54
1999-02-26,714.67
1999-02-27,743.55
1999-03-01,765.66
1999-03-03,790.06
1999-03-04,778.57
1999-03-05,787.44
1999-03-08,795.06
1999-03-09,799.06
1999-03-10,809.02
1999-03-11,792.14
1999-03-12,803.75
1999-03-15,808.17
1999-03-16,797.08
1999-03-17,803.38
1999-03-18,817.81
1999-03-19,808.27
1999-03-20,808.86
1999-03-22,811.88
1999-03-23,814.22
1999-03-24,812.17
1999-03-25,808.18
1999-03-26,793.5
1999-03-30,797.44
1999-03-31,821.18
1999-04-01,815.1
1999-04-05,774.09
1999-04-06,776.24
1999-04-07,782.43
1999-04-08,774.08
1999-04-09,751.95
1999-04-12,752.01
1999-04-13,746.26
1999-04-15,723.54
1999-04-16,778.5
1999-04-17,723.3
1999-04-19,741.76
1999-04-20,743.64
1999-04-21,749.31
1999-04-22,737.17
1999-04-23,735.28
1999-04-26,694.29
1999-04-28,702.64
1999-04-29,723.22
1999-04-30,737.22
1999-05-03,732.51
1999-05-04,761.42
1999-05-05,774.56
1999-05-06,788.89
1999-05-07,799.22
1999-05-10,819.1
1999-05-11,831.23
1999-05-12,820.88
1999-05-13,844.72
1999-05-14,855.13
1999-05-17,842.84
1999-05-18,849.78
1999-05-19,870.58
1999-05-20,865.31
1999-05-21,848.59
1999-05-24,849.84
1999-05-25,855.37
1999-05-26,843.59
1999-05-27,817.56
1999-05-28,804.26
1999-05-31,839.73
1999-06-01,831.39
1999-06-02,835.72
1999-06-03,844.89
1999-06-04,855.57
1999-06-07,856.06
1999-06-08,870.08
1999-06-09,863.56
1999-06-10,866.22
1999-06-11,851.55
1999-06-14,837.58
1999-06-15,828.37
1999-06-16,847.65
1999-06-17,862.99
1999-06-18,861.08
1999-06-21,880.11
1999-06-22,889.85
1999-06-23,878.72
1999-06-24,871.72
1999-06-25,870.79
1999-06-28,881.12
1999-06-29,880.88
1999-06-30,880.76
1999-07-01,878.48
1999-07-02,886.8
1999-07-05,910.38
1999-07-06,920.71
1999-07-07,924.45
1999-07-08,924.21
1999-07-09,936.12
1999-07-12,982.1
1999-07-13,983.75
1999-07-14,1000.35
1999-07-15,980.64
1999-07-16,988.7
1999-07-19,1007.92
1999-07-20,984.89
1999-07-21,1004.02
1999-07-22,1011.54
1999-07-23,1003.48
1999-07-26,995.28
1999-07-27,986.62
1999-07-28,999.37
1999-07-29,998.41
1999-07-30,990.45
1999-08-02,972.74
1999-08-03,976.39
1999-08-04,1005.13
1999-08-05,1001.56
1999-08-06,1001.2
1999-08-09,1013.54
1999-08-10,1003.6
1999-08-11,1010.64
1999-08-12,1012.39
1999-08-13,1003.14
1999-08-16,1021.08
1999-08-17,1040.29
1999-08-18,1072.01
1999-08-19,1054.73
1999-08-20,1061.56
1999-08-23,1077.71
1999-08-24,1088.82
1999-08-25,1077.55
1999-08-26,1098.29
1999-08-27,1105.14
1999-08-30,1103.5
1999-08-31,1096.6
1999-09-01,1090.54
1999-09-02,1065.97
1999-09-03,1066.58
1999-09-06,1078.91
1999-09-07,1073.13
1999-09-08,1090.5
1999-09-09,1088.05
1999-09-10,1087.07
1999-09-14,1078.67
1999-09-15,1079.26
1999-09-16,1061.44
1999-09-17,1070.6
1999-09-20,1071.18
1999-09-21,1068.67
1999-09-22,1098.82
1999-09-23,1116.47
1999-09-24,1129.12
1999-09-27,1113.94
1999-09-28,1105.26
1999-09-29,1131.9
1999-09-30,1125.04
1999-10-01,1114.63
1999-10-04,1084.43
1999-10-05,1098.03
1999-10-06,1110.95
1999-10-07,1169.73
1999-10-08,1184.97
1999-10-11,1186.16
1999-10-12,1197.89
1999-10-13,1214.35
1999-10-14,1223.59
1999-10-15,1177.13
1999-10-18,1185.44
1999-10-20,1215.12
1999-10-21,1187.18
1999-10-22,1173.04
1999-10-23,1184.74
1999-10-25,1151.17
1999-10-26,1154.94
1999-10-27,1149.81
1999-10-28,1107.21
1999-10-29,1067.56
1999-11-30,1140.74
1999-12-01,1151.11
1999-12-02,1168.76
1999-12-03,1178.97
1999-12-06,1205.94
1999-12-07,1216.06
1999-12-08,1206.73
1999-12-09,1218.88
1999-12-10,1224.83
1999-12-13,1226.6
1999-12-14,1217.15
1999-12-15,1211.91
1999-12-16,1237.39
1999-12-17,1242.98
1999-12-20,1256.7
1999-12-21,1259.2
1999-12-22,1310.7
1999-12-23,1316.15
1999-12-24,1294.49
1999-12-27,1265.38
1999-12-28,1282.48
1999-12-29,1309.83
1999-12-30,1323.19
2000-01-03,1418.19
2000-01-04,1466.42
2000-01-05,1431.64
2000-01-06,1434.74
2000-01-07,1401.45
2000-01-10,1409.42
2000-01-11,1358.12
2000-01-12,1402.33
2000-01-13,1386.62
2000-01-14,1385.81
2000-01-17,1393.82
2000-01-18,1391.37
2000-01-19,1420.23
2000-01-20,1410.04
2000-01-21,1439.67
2000-01-24,1441.32
2000-01-25,1442.21
2000-01-27,1469
2000-01-28,1493.71
2000-01-31,1445.58
2000-02-01,1466.38
2000-02-02,1511.53
2000-02-03,1546.02
2000-02-04,1568.71
2000-02-07,1579.73
2000-02-08,1579.24
2000-02-09,1612.81
2000-02-10,1657.01
2000-02-11,1693.79
2000-02-14,1695.99
2000-02-15,1693.21
2000-02-16,1731
2000-02-17,1794.13
2000-02-18,1816.81
2000-02-21,1875.14
2000-02-22,1831.47
2000-02-23,1771.57
2000-02-24,1773.56
2000-02-25,1710.27
2000-02-28,1712.44
2000-02-29,1633.13
2000-03-01,1717.65
2000-03-02,1739.36
2000-03-03,1682.54
2000-03-06,1705.13
2000-03-07,1681.11
2000-03-08,1675.08
2000-03-09,1617.4
2000-03-10,1589.6
2000-03-13,1526.37
2000-03-14,1504.04
2000-03-15,1507.76
2000-03-16,1458.44
2000-03-21,1429.27
2000-03-22,1467.79
2000-03-23,1465.55
2000-03-24,1498.06
2000-03-27,1508.62
2000-03-28,1524.11
2000-03-29,1536.23
2000-03-30,1494.65
2000-03-31,1455.31
2000-04-03,1416.9
2000-04-04,1317.03
2000-04-05,1317.66
2000-04-06,1329.19
2000-04-07,1416.81
2000-04-10,1482.24
2000-04-11,1494.6
2000-04-12,1473.06
